Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Austria,8995181,0.01,51296,109,82409,65000,1.5,43,0.57,0
Papua New Guinea,8908748,0.02,170915,20,452860,-800,3.6,22,0.13,0
Serbia,8744863,0,-34864,100,87460,4000,1.5,42,0.56,0
Israel,8625224,0.02,136158,400,21640,10000,3,30,0.93,0
Switzerland,8640750,0.01,63257,219,39516,52000,1.5,43,0.74,0
Togo,8234390,0.02,196358,152,54390,-2000,4.4,19,0.43,0
Sierra Leone,7940215,0.02,163768,111,72180,-4200,4.3,19,0.43,0
Hong Kong,7483622,0.01,60827,7140,1050,29308,1.3,45,0,0
Laos,7251987,0.01,106105,32,230800,-14704,2.7,24,0.36,0
Paraguay,7113088,0.01,87902,18,397300,-16556,2.4,26,0.62,0
Bulgaria,6959479,-0.01,-51674,64,108560,-4800,1.6,45,0.76,0
Libya,6850478,0.01,93840,4,1759540,-1999,2.3,29,0.78,0
Lebanon,6831944,0,-30268,667,10230,-30012,2.1,30,0.78,0
Nicaragua,6607074,0.01,79052,55,120340,-21272,2.4,26,0.57,0
Kyrgyzstan,6500038,0.02,108345,34,191800,-4000,3,26,0.36,0
El Salvador,6479074,0.01,32652,313,20720,-40539,2.1,28,0.73,0
Turkmenistan,6011396,0.02,89111,13,469930,-5000,2.8,27,0.53,0
Singapore,5840243,0.01,46005,8358,700,27028,1.2,42,0,0
Denmark,5787775,0,20326,137,42430,15200,1.8,42,0.88,0
Finland,5538861,0,8564,18,303890,14000,1.5,43,0.86,0
Congo,5486958,0.03,137579,16,341500,-4000,4.5,19,0.7,0
Slovakia,5459072,0,2629,114,48088,1485,1.5,41,0.54,0
Norway,5411938,0.01,42384,15,365268,28000,1.7,40,0.83,0
Oman,5076797,0.03,131640,16,309500,87400,2.9,31,0.87,0
State of Palestine,5074331,0.02,119994,847,6020,-10563,3.7,21,0.8,0
Costa Rica,5083875,0.01,46557,100,51060,4200,1.8,33,0.8,0
Liberia,5030515,0.02,120307,53,96320,-5000,4.4,19,0.53,0
Ireland,4925576,0.01,55291,72,68890,23604,1.8,38,0.63,0
Central African Republic,4810878,0.02,84582,8,622980,-40000,4.8,18,0.43,0
New Zealand,4813630,0.01,39170,18,263310,14881,1.9,38,0.87,0
Mauritania,4621525,0.03,123962,5,1030700,5000,4.6,20,0.57,0
Panama,4299553,0.02,68328,58,74340,11200,2.5,30,0.68,0
Kuwait,4256459,0.02,63488,240,17820,39520,2.1,37,0,0
Croatia,4110626,-0.01,-25037,73,55960,-8001,1.4,44,0.58,0
Moldova,4035968,0,-9300,123,32850,-1387,1.3,38,0.43,0
Georgia,3990806,0,-7598,57,69490,-10000,2.1,38,0.58,0
Eritrea,3535481,0.01,49304,35,101000,-39858,4.1,19,0.63,0
Uruguay,3471117,0,11996,20,175020,-3000,2,36,0.96,0
Bosnia and Herzegovina,3285139,-0.01,-20181,64,51000,-21585,1.3,43,0.52,0
Mongolia,3266454,0.02,53123,2,1553560,-852,2.9,28,0.67,0
Armenia,2962046,0,5512,104,28470,-4998,1.8,35,0.63,0
Jamaica,2958356,0,12888,273,10830,-11332,2,31,0.55,0
Qatar,2870123,0.02,48986,248,11610,40000,1.9,32,0.96,0
Albania,2878471,0,-3120,105,27400,-14000,1.6,36,0.63,0
Puerto Rico,2875844,-0.02,-72555,323,8870,-97986,1.2,44,0,0
Lithuania,2730171,-0.01,-37338,43,62674,-32780,1.7,45,0.71,0
Namibia,2530535,0.02,46375,3,823290,-4806,3.4,22,0.55,0
Gambia,2400966,0.03,68962,239,10120,-3087,5.3,18,0.59,0
Botswana,2340869,0.02,47930,4,566730,3000,2.9,24,0.73,0
Gabon,2213729,0.02,53155,9,257670,3260,4,23,0.87,0
Lesotho,2138521,0.01,16981,71,30360,-10047,3.2,24,0.31,0
North Macedonia,2083392,0,-85,83,25220,-1000,1.5,39,0.59,0
Slovenia,2078877,0,284,103,20140,2000,1.6,45,0.55,0
Guinea-Bissau,1957368,0.02,47079,70,28120,-1399,4.5,19,0.45,0
Latvia,1890558,-0.01,-20545,30,62200,-14837,1.7,44,0.69,0
Bahrain,1687654,0.04,60403,2239,760,47800,2,32,0.89,0
Equatorial Guinea,1392190,0.03,46999,50,28050,16000,4.6,22,0.73,0
Trinidad and Tobago,1398505,0,4515,273,5130,-800,1.7,36,0.52,0
Estonia,1326343,0,887,31,42390,3911,1.6,42,0.68,0
Timor-Leste,1312772,0.02,25326,89,14870,-5385,4.1,21,0.33,0
Mauritius,1271312,0,2100,626,2030,0,1.4,37,0.41,0
Cyprus,1205433,0.01,8784,131,9240,5000,1.3,37,0.67,0
Eswatini,1157510,0.01,12034,67,17200,-8353,3,21,0.3,0
Djibouti,984792,0.01,14440,43,23180,900,2.8,27,0.79,0
Fiji,895021,0.01,6492,49,18270,-6202,2.8,28,0.59,0
Réunion,893912,0.01,6385,358,2500,-1256,2.3,36,1,0
Comoros,865392,0.02,18715,467,1861,-2000,4.2,20,0.29,0
Guyana,785725,0,3786,4,196850,-6000,2.5,27,0.27,0
Bhutan,769728,0.01,8516,20,38117,320,2,28,0.46,0
Solomon Islands,683024,0.03,17061,25,27990,-1600,4.4,20,0.23,0
Macao,647363,0.01,8890,21645,30,5000,1.2,39,0,0
Montenegro,628049,0,79,47,13450,-480,1.8,39,0.68,0
Luxembourg,623694,0.02,10249,242,2590,9741,1.5,40,0.88,0
Western Sahara,593973,0.03,14876,2,266000,5582,2.4,28,0.87,0
Suriname,585475,0.01,5260,4,156000,-1000,2.4,29,0.65,0
Cabo Verde,554651,0.01,6052,138,4030,-1342,2.3,28,0.68,0
Maldives,538401,0.02,9591,1802,300,11370,1.9,30,0.35,0
Malta,441288,0,1171,1380,320,900,1.5,43,0.93,0
Brunei,436555,0.01,4194,83,5270,0,1.8,32,0.8,0
Guadeloupe,400109,0,68,237,1690,-1440,2.2,44,0,0
Belize,396001,0.02,7275,17,22810,1200,2.3,25,0.46,0
Bahamas,392416,0.01,3762,39,10010,1000,1.8,32,0.86,0
Martinique,375327,0,-289,354,1060,-960,1.9,47,0.92,0
Iceland,340759,0.01,2212,3,100250,380,1.8,37,0.94,0
Vanuatu,305505,0.02,7263,25,12190,120,3.8,21,0.24,0
French Guiana,296902,0.03,7850,4,82200,1200,3.4,25,0.87,0
Barbados,287299,0,350,668,430,-79,1.6,40,0.31,0
New Caledonia,284893,0.01,2748,16,18280,502,2,34,0.72,0
French Polynesia,280553,0.01,1621,77,3660,-1000,2,34,0.64,0
Mayotte,271308,0.03,6665,728,375,0,3.7,20,0.46,0
Sao Tome & Principe,218241,0.02,4103,228,960,-1680,4.4,19,0.74,0
Samoa,198126,0.01,1317,70,2830,-2803,3.9,22,0.18,0
Saint Lucia,183444,0,837,301,610,0,1.4,34,0.19,0
Channel Islands,173510,0.01,1604,915,190,1351,1.5,43,0.3,0
Guam,168449,0.01,1481,313,540,-506,2.3,31,0.95,0
Curaçao,163947,0,669,370,444,515,1.8,42,0.89,0
Kiribati,119039,0.02,1843,147,810,-800,3.6,23,0.57,0
Micronesia,114757,0.01,1208,164,700,-600,3.1,24,0.21,0
Grenada,112410,0,520,331,340,-200,2.1,32,0.35,0
St. Vincent & Grenadines,110864,0,351,284,390,-200,1.9,33,0.53,0
Aruba,106667,0,452,593,180,201,1.9,41,0.44,0
Tonga,105430,0.01,1201,147,720,-800,3.6,22,0.24,0
U.S. Virgin Islands,104458,0,-153,298,350,-451,2,43,0.96,0
Seychelles,98214,0.01,608,214,460,-200,2.5,34,0.56,0
Antigua and Barbuda,97751,0.01,811,223,440,0,2,34,0.26,0
Isle of Man,84935,0.01,449,149,570,0,0,0,0.53,0
Andorra,77238,0,123,164,470,0,0,0,0.88,0
Dominica,71947,0,178,96,750,0,0,0,0.74,0
Cayman Islands,65551,0.01,774,274,240,0,0,0,0.97,0
Bermuda,62327,0,-228,1246,50,0,0,0,0.97,0
Marshall Islands,59103,0.01,399,329,180,0,0,0,0.7,0
Northern Mariana Islands,57484,0.01,343,125,460,0,0,0,0.88,0
Greenland,56749,0,98,0,410450,0,0,0,0.87,0
American Samoa,55217,0,-121,276,200,0,0,0,0.88,0
Saint Kitts & Nevis,53117,0.01,376,205,260,0,0,0,0.33,0
Faeroe Islands,48823,0,185,35,1396,0,0,0,0.43,0
Sint Maarten,42768,0.01,488,1261,34,0,0,0,0.96,0
Monaco,39181,0.01,278,26337,1,0,0,0,0,0
Turks and Caicos,38600,0.01,526,41,950,0,0,0,0.89,0
Saint Martin,38518,0.02,664,730,53,0,0,0,0,0
Liechtenstein,38104,0,109,238,160,0,0,0,0.15,0
San Marino,33916,0,71,566,60,0,0,0,0.97,0
Gibraltar,33693,0,-10,3369,10,0,0,0,0,0
British Virgin Islands,30187,0.01,201,202,150,0,0,0,0.52,0
Caribbean Netherlands,26169,0.01,244,80,328,0,0,0,0.75,0
Palau,18075,0,86,39,460,0,0,0,0,0
Cook Islands,17561,0,16,73,240,0,0,0,0.75,0
Anguilla,14974,0.01,134,167,90,0,0,0,0,0
Tuvalu,11760,0.01,146,393,30,0,0,0,0.62,0
Wallis & Futuna,11279,-0.02,-193,80,140,0,0,0,0,0
Nauru,10809,0.01,68,541,20,0,0,0,0,0
Saint Barthelemy,9870,0,30,470,21,0,0,0,0,0
Saint Helena,6073,0,18,16,390,0,0,0,0.27,0
Saint Pierre & Miquelon,5800,0,-28,25,230,0,0,0,1,0
Montserrat,4991,0,3,50,100,0,0,0,0.1,0
Falkland Islands,3457,0.03,103,0,12170,0,0,0,0.66,0
Niue,1624,0.01,11,6,260,0,0,0,0.46,0
Tokelau,1353,0.01,17,136,10,0,0,0,0,0
Holy See,801,0,2,2003,0,0,0,0,0,0
